|adp|adp_formatted|bye|high|low|name|player_id|position|stdev|team|times_drafted
125|122.0|11.02|6|95|140|Zay Jones|2468|WR|10.4|BUF|94
72|72.8|7.01|10|52|95|Zach Ertz|1978|TE|7.8|PHI|148
86|83.8|7.12|9|65|105|Willie Snead|2223|WR|9.2|NO|122
173|161.0|14.05|9|143|176|Wil Lutz|2522|PK|6.7|NO|42
151|146.1|13.02|10|108|176|Wendell Smallwood|2385|RB|14.4|PHI|157
176|162.4|14.06|6|134|180|Tyrod Taylor|1880|QB|12.8|BUF|52
97|95.0|8.11|12|74|116|Tyrell Williams|2483|WR|9.0|LAC|157
46|45.5|4.1|12|31|59|Tyreek Hill|2390|WR|5.5|KC|248
168|156.1|13.12|11|112|177|Tyler Lockett|2304|WR|17.2|SEA|59
71|70.4|6.1|9|50|99|Tyler Eifert|1974|TE|7.6|CIN|144
33|32.6|3.09|11|19|45|Ty Montgomery|2317|RB|4.9|GB|290
39|38.9|4.03|12|25|59|Travis Kelce|1989|TE|5.3|KC|209
29|29.6|3.06|10|14|43|Tom Brady|119|QB|5.8|NE|193
19|19.4|2.07|9|11|27|Todd Gurley|2280|RB|2.9|LAR|263
98|95.7|8.12|11|71|117|Thomas Rawls|2337|RB|9.1|SEA|119
82|83.0|7.11|5|63|105|Theo Riddick|2033|RB|7.7|DET|199
73|73.2|7.01|9|53|96|Tevin Coleman|2289|RB|7.6|ATL|202
31|30.2|3.06|10|18|41|Terrelle Pryor|1868|WR|4.5|WAS|210
89|86.8|8.03|8|66|101|Terrance West|2139|RB|7.6|BAL|177
121|116.9|10.09|9|86|142|Ted Ginn Jr|426|WR|11.6|NO|192
158|151.4|13.07|9|111|176|Taylor Gabriel|2484|WR|15.2|ATL|59
28|28.8|3.05|6|19|43|T.Y. Hilton|1935|WR|3.6|IND|205
161|152.3|13.08|11|119|171|Sterling Shepard|2349|WR|12.4|NYG|69
154|149.7|13.06|10|129|161|Stephen Gostkowski|438|PK|7.9|NE|124
56|54.8|5.07|12|39|76|Stefon Diggs|2316|WR|5.9|MIN|237
183|172.7|15.05|6|162|180|Sebastian Janikowski|593|PK|5.3|OAK|47
113|110.3|10.02|11|88|123|Seattle Defense|1327|DEF|8.5|SEA|78
70|70.0|6.1|9|51|94|Sammy Watkins|2109|WR|7.1|LAR|234
131|126.8|11.07|10|97|148|Samaje Perine|2441|RB|11.7|WAS|116
64|64.3|6.04|11|44|86|Russell Wilson|1904|QB|7.5|SEA|111
149|143.4|12.11|4|107|167|Robby Anderson|2523|WR|13.8|NYJ|68
68|67.0|6.07|10|48|96|Rob Kelley|2429|RB|7.1|WAS|239
17|18.1|2.06|10|9|29|Rob Gronkowski|1740|TE|3.3|NE|198
118|116.0|10.08|11|88|140|Rishard Matthews|2241|WR|10.5|TEN|104
116|113.4|10.05|10|88|134|Rex Burkhead|2029|RB|9.6|NE|103
95|92.2|8.08|11|65|111|Randall Cobb|1806|WR|10.1|GB|188
157|150.8|13.07|7|127|179|Pittsburgh Defense|1324|DEF|12.3|PIT|57
67|66.4|6.06|4|50|90|Pierre Garcon|1707|WR|6.1|SF|288
112|108.7|10.01|12|84|126|Philip Rivers|995|QB|9.2|LAC|192
175|161.6|14.06|10|133|180|Philadelphia Defense|1323|DEF|10.8|PHI|78
83|83.4|7.11|11|61|103|Paul Perkins|2383|RB|8.4|NYG|181
5|6.4|1.06|11|2|12|Odell Beckham Jr|2113|WR|1.6|NYG|310
162|152.7|13.09|7|97|180|O.J. Howard|2446|TE|21.2|TB|58
133|128.0|11.08|10|118|139|New England Defense|1318|DEF|5.7|NE|52
145|138.5|12.07|11|106|160|NY Giants Defense|1320|DEF|12.2|NYG|46
178|162.9|14.07|9|122|180|Mohamed Sanu|1919|WR|15.5|ATL|45
144|138.1|12.06|12|110|164|Minnesota Defense|1317|DEF|10.6|MIN|62
129|125.9|11.06|8|100|141|Mike Wallace|1678|WR|9.7|BAL|86
66|65.3|6.05|10|46|91|Mike Gillislee|2017|RB|7.2|NE|172
8|7.9|1.08|7|3|15|Mike Evans|2111|WR|2.2|TB|305
12|13.3|2.01|9|7|20|Michael Thomas|2357|WR|2.2|NO|269
44|43.7|4.08|6|31|57|Michael Crabtree|1646|WR|4.7|OAK|234
10|10.1|1.1|12|3|18|Melvin Gordon|2282|RB|2.6|LAC|318
120|116.5|10.08|5|91|148|Matthew Stafford|1664|QB|9.5|DET|187
57|56.4|5.08|9|36|77|Matt Ryan|1342|QB|7.8|ATL|110
137|132.6|12.01|4|94|168|Matt Forte|1354|RB|14.6|NYJ|139
165|155.7|13.12|9|137|176|Matt Bryant|150|PK|7.2|ATL|55
177|162.6|14.07|11|150|178|Mason Crosby|251|PK|5.9|GB|44
109|106.3|9.1|5|87|121|Marvin Jones|2061|WR|7.0|DET|124
90|87.6|8.04|10|55|125|Martellus Bennett|1364|TE|12.2|NE|125
41|40.9|4.05|7|27|56|Martavis Bryant|2150|WR|5.1|PIT|268
37|36.4|3.12|6|20|51|Marshawn Lynch|740|RB|6.0|OAK|228
147|141.3|12.09|6|111|172|Marlon Mack|2469|RB|11.4|IND|113
60|57.6|5.1|9|42|79|Mark Ingram|1800|RB|5.9|NO|210
78|76.8|7.05|11|58|95|Marcus Mariota|2276|QB|6.9|TEN|149
26|27.0|3.03|10|16|41|Leonard Fournette|2433|RB|4.0|JAX|211
1|2.3|1.02|7|1|6|LeVeon Bell|1983|RB|0.8|PIT|303
7|7.8|1.08|6|2|15|LeSean McCoy|1645|RB|2.0|BUF|257
94|91.9|8.08|10|71|108|LeGarrette Blount|1781|RB|7.7|PHI|145
163|154.4|13.1|12|115|180|Latavius Murray|2023|RB|17.1|MIN|81
48|48.4|4.12|12|35|60|Larry Fitzgerald|374|WR|5.1|ARI|215
36|35.2|3.11|10|22|47|Lamar Miller|1908|RB|4.7|HOU|238
85|83.6|7.12|12|64|118|Kyle Rudolph|1799|TE|8.4|MIN|152
88|86.3|8.02|10|63|111|Kirk Cousins|1902|QB|8.7|WAS|161
132|127.0|11.07|6|100|145|Kevin White|2278|WR|10.1|CHI|92
159|151.6|13.08|5|120|177|Kenny Golladay|2488|WR|12.0|DET|71
141|136.2|12.04|10|109|152|Kenny Britt|1657|WR|10.2|NE|58
