adp,adp_formatted,bye,high,low,name,player_id,position,stdev,team,times_drafted
3.7,1.04,7,1,7,Antonio Brown,1886,WR,1.0,PIT,338
5.7,1.06,9,1,15,Julio Jones,1796,WR,3.2,ATL,131
6.4,1.06,11,2,12,Odell Beckham Jr,2113,WR,1.6,NYG,310
7.9,1.08,7,3,15,Mike Evans,2111,WR,2.2,TB,305
10.0,1.1,9,5,20,A.J. Green,1795,WR,2.2,CIN,287
11.4,1.11,11,5,20,Jordy Nelson,1350,WR,2.4,GB,295
13.3,2.01,9,7,20,Michael Thomas,2357,WR,2.2,NO,269
17.1,2.05,10,8,25,Brandin Cooks,2114,WR,3.2,NE,237
20.5,2.08,8,11,30,Dez Bryant,1727,WR,3.3,DAL,270
21.3,2.09,6,13,32,Amari Cooper,2277,WR,3.2,OAK,287
22.4,2.1,11,14,32,Doug Baldwin,1927,WR,3.1,SEA,295
25.8,3.02,12,17,36,Keenan Allen,1992,WR,3.3,LAC,272
28.8,3.05,6,19,43,T.Y. Hilton,1935,WR,3.6,IND,205
30.2,3.06,10,18,41,Terrelle Pryor,1868,WR,4.5,WAS,210
31.7,3.08,10,19,47,DeAndre Hopkins,1975,WR,4.5,HOU,258
34.5,3.1,10,24,45,Demaryius Thomas,1735,WR,4.0,DEN,264
38.6,4.03,6,25,51,Kelvin Benjamin,2116,WR,5.0,BUF,251
39.1,4.03,10,28,50,Alshon Jeffery,1918,WR,4.1,PHI,234
40.9,4.05,7,27,56,Martavis Bryant,2150,WR,5.1,PIT,268
43.7,4.08,6,31,57,Michael Crabtree,1646,WR,4.7,OAK,234
44.9,4.09,11,32,60,Davante Adams,2125,WR,4.8,GB,234
45.5,4.1,12,31,59,Tyreek Hill,2390,WR,5.5,KC,248
47.8,4.12,5,33,63,Golden Tate,1730,WR,5.5,DET,238
48.4,4.12,12,35,60,Larry Fitzgerald,374,WR,5.1,ARI,215
51.9,5.04,5,39,65,DeVante Parker,2279,WR,4.9,MIA,300
54.8,5.07,12,39,76,Stefon Diggs,2316,WR,5.9,MIN,237
57.0,5.09,10,40,72,Allen Robinson,2130,WR,6.4,JAX,229
61.2,6.01,10,47,79,Jamison Crowder,2331,WR,5.3,WAS,244
64.0,6.04,5,46,86,Jarvis Landry,2132,WR,6.7,MIA,234
65.2,6.05,11,49,79,Brandon Marshall,755,WR,5.9,NYG,197
66.4,6.06,4,50,90,Pierre Garcon,1707,WR,6.1,SF,288
70.0,6.1,9,51,94,Sammy Watkins,2109,WR,7.1,LAR,234
73.9,7.02,10,57,97,Emmanuel Sanders,1762,WR,6.7,DEN,254
76.5,7.05,10,56,96,Chris Hogan,2076,WR,7.6,NE,238
83.4,7.11,8,61,104,Jeremy Maclin,1649,WR,8.5,BAL,225
83.8,7.12,9,65,105,Willie Snead,2223,WR,9.2,NO,122
88.7,8.05,11,66,110,Eric Decker,1764,WR,8.5,TEN,222
90.4,8.06,7,64,113,DeSean Jackson,1357,WR,9.8,TB,189
92.2,8.08,11,65,111,Randall Cobb,1806,WR,10.1,GB,188
95.0,8.11,12,74,116,Tyrell Williams,2483,WR,9.0,LAC,157
96.4,8.12,7,72,115,Corey Coleman,2346,WR,9.2,CLE,187
98.6,9.03,12,75,120,Adam Thielen,2431,WR,8.7,MIN,209
105.7,9.1,6,83,121,Donte Moncrief,2137,WR,8.7,IND,111
106.3,9.1,5,87,121,Marvin Jones,2061,WR,7.0,DET,124
108.6,10.01,12,89,127,John Brown,2138,WR,7.5,ARI,160
110.9,10.03,11,86,132,Corey Davis,2435,WR,9.4,TEN,112
116.0,10.08,11,88,140,Rishard Matthews,2241,WR,10.5,TEN,104
116.9,10.09,9,86,142,Ted Ginn Jr,426,WR,11.6,NO,192
117.5,10.09,6,92,134,Jordan Matthews,2121,WR,9.4,BUF,106
121.3,11.01,9,95,136,Cooper Kupp,2449,WR,10.1,LAR,105
122.0,11.02,6,95,140,Zay Jones,2468,WR,10.4,BUF,94
125.9,11.06,8,100,141,Mike Wallace,1678,WR,9.7,BAL,86
127.0,11.07,6,100,145,Kevin White,2278,WR,10.1,CHI,92
132.2,11.12,10,104,152,Danny Amendola,1720,WR,10.8,NE,67
136.2,12.04,10,109,152,Kenny Britt,1657,WR,10.2,NE,58
136.2,12.04,8,104,161,Cole Beasley,1970,WR,12.3,DAL,70
143.4,12.11,4,107,167,Robby Anderson,2523,WR,13.8,NYJ,68
148.4,13.04,6,113,172,Kendall Wright,1916,WR,13.4,CHI,89
151.4,13.07,9,111,176,Taylor Gabriel,2484,WR,15.2,ATL,59
151.6,13.08,5,120,177,Kenny Golladay,2488,WR,12.0,DET,71
152.3,13.08,11,119,171,Sterling Shepard,2349,WR,12.4,NYG,69
156.1,13.12,11,112,177,Tyler Lockett,2304,WR,17.2,SEA,59
162.9,14.07,9,122,180,Mohamed Sanu,1919,WR,15.5,ATL,45
