adp,adp_formatted,bye,high,low,name,player_id,position,stdev,team,times_drafted
1.3,1.01,12,1,4,David Johnson,2297,RB,0.6,ARI,310
2.3,1.02,7,1,6,LeVeon Bell,1983,RB,0.8,PIT,303
6.2,1.06,8,1,17,Ezekiel Elliott,2343,RB,2.8,DAL,180
7.0,1.07,9,3,11,Devonta Freeman,2144,RB,1.9,ATL,189
7.8,1.08,6,2,15,LeSean McCoy,1645,RB,2.0,BUF,257
10.1,1.1,12,3,18,Melvin Gordon,2282,RB,2.6,LAC,318
13.8,2.02,10,7,20,Jay Ajayi,2284,RB,2.6,PHI,282
15.2,2.03,11,8,22,DeMarco Murray,1819,RB,2.4,TEN,239
16.8,2.05,6,9,24,Jordan Howard,2384,RB,2.7,CHI,224
18.7,2.07,12,11,27,Kareem Hunt,2450,RB,3.0,KC,275
19.4,2.07,9,11,27,Todd Gurley,2280,RB,2.9,LAR,263
22.9,2.11,7,14,32,Christian McCaffrey,2434,RB,3.7,CAR,272
27.0,3.03,10,16,41,Leonard Fournette,2433,RB,4.0,JAX,211
27.5,3.03,12,17,36,Dalvin Cook,2432,RB,3.9,MIN,263
29.8,3.06,7,19,39,Isaiah Crowell,2219,RB,3.8,CLE,243
32.6,3.09,11,19,45,Ty Montgomery,2317,RB,4.9,GB,290
35.2,3.11,4,23,47,Carlos Hyde,2129,RB,4.5,SF,313
35.2,3.11,10,22,47,Lamar Miller,1908,RB,4.7,HOU,238
36.4,3.12,6,20,51,Marshawn Lynch,740,RB,6.0,OAK,228
42.5,4.06,9,29,65,Joe Mixon,2438,RB,4.9,CIN,239
48.6,5.01,4,31,67,Bilal Powell,1867,RB,6.4,NYJ,231
49.0,5.01,7,32,69,Doug Martin,1907,RB,6.3,TB,220
51.4,5.03,10,35,66,CJ Anderson,2071,RB,6.1,DEN,241
53.0,5.05,5,36,70,Ameer Abdullah,2293,RB,6.3,DET,246
57.6,5.1,9,42,79,Mark Ingram,1800,RB,5.9,NO,210
61.7,6.02,8,45,75,Danny Woodhead,1776,RB,6.1,BAL,231
65.3,6.05,10,46,91,Mike Gillislee,2017,RB,7.2,NE,172
67.0,6.07,10,48,96,Rob Kelley,2429,RB,7.1,WAS,239
69.9,6.1,12,50,92,Adrian Peterson,925,RB,7.4,ARI,187
73.2,7.01,9,53,96,Tevin Coleman,2289,RB,7.6,ATL,202
75.3,7.03,8,55,93,Darren McFadden,1341,RB,7.7,DAL,100
77.9,7.06,11,56,98,Derrick Henry,2350,RB,8.4,TEN,199
83.0,7.11,5,63,105,Theo Riddick,2033,RB,7.7,DET,199
83.4,7.11,11,61,103,Paul Perkins,2383,RB,8.4,NYG,181
86.1,8.02,6,63,113,Frank Gore,437,RB,8.7,IND,179
86.8,8.03,8,66,101,Terrance West,2139,RB,7.6,BAL,177
91.9,8.08,10,71,108,LeGarrette Blount,1781,RB,7.7,PHI,145
94.2,8.1,7,73,114,Duke Johnson,2285,RB,8.1,CLE,129
95.7,8.12,11,71,117,Thomas Rawls,2337,RB,9.1,SEA,119
95.9,8.12,7,75,117,Jacquizz Rodgers,1827,RB,7.7,TB,87
101.4,9.05,7,83,117,Jonathan Stewart,1344,RB,7.0,CAR,114
102.7,9.07,10,83,120,James White,2154,RB,8.0,NE,101
106.6,9.11,11,79,128,Eddie Lacy,1987,RB,10.6,SEA,130
113.4,10.05,10,88,134,Rex Burkhead,2029,RB,9.6,NE,103
114.3,10.06,11,86,144,Jamaal Williams,2445,RB,10.6,GB,99
116.3,10.08,10,89,149,Darren Sproles,1105,RB,10.2,PHI,130
123.3,11.03,10,90,149,Jamaal Charles,1368,RB,12.6,DEN,189
126.8,11.07,10,97,148,Samaje Perine,2441,RB,11.7,WAS,116
129.4,11.09,11,107,169,CJ Prosise,2364,RB,11.9,SEA,132
132.6,12.01,4,94,168,Matt Forte,1354,RB,14.6,NYJ,139
134.5,12.03,9,95,172,Jeremy Hill,2127,RB,15.2,CIN,160
140.0,12.08,9,104,169,Alvin Kamara,2439,RB,13.7,NO,129
141.3,12.09,6,111,172,Marlon Mack,2469,RB,11.4,IND,113
146.1,13.02,10,108,176,Wendell Smallwood,2385,RB,14.4,PHI,157
149.7,13.06,11,105,180,Chris Carson,2518,RB,17.1,SEA,92
154.4,13.1,12,115,180,Latavius Murray,2023,RB,17.1,MIN,81
155.2,13.11,6,115,180,DeAndre Washington,2382,RB,15.4,OAK,85
155.9,13.12,10,118,178,Dion Lewis,1860,RB,17.2,NE,43
156.1,13.12,9,116,179,Jonathan Williams,2387,RB,16.3,NO,56
157.0,14.01,10,116,180,Donta Foreman,2440,RB,18.9,HOU,52
159.6,14.04,9,118,180,Giovani Bernard,1979,RB,15.6,CIN,45
160.7,14.05,12,127,180,Charcandrick West,2339,RB,15.1,KC,42
