gameid,date,home,away,season,week
2017090700,2017-09-07,NE,KC,2017,1
2017091000,2017-09-10,BUF,NYJ,2017,1
2017091008,2017-09-10,WAS,PHI,2017,1
2017091007,2017-09-10,TEN,OAK,2017,1
2017091005,2017-09-10,HOU,JAX,2017,1
2017091004,2017-09-10,DET,ARI,2017,1
2017091003,2017-09-10,CLE,PIT,2017,1
2017091001,2017-09-10,CHI,ATL,2017,1
2017091002,2017-09-10,CIN,BAL,2017,1
2017091009,2017-09-10,LA,IND,2017,1
2017091011,2017-09-10,SF,CAR,2017,1
2017091010,2017-09-10,GB,SEA,2017,1
2017091012,2017-09-10,DAL,NYG,2017,1
2017091100,2017-09-11,MIN,NO,2017,1
2017091101,2017-09-11,DEN,LAC,2017,1
2017091400,2017-09-14,CIN,HOU,2017,2
2017091700,2017-09-17,BAL,CLE,2017,2
2017091707,2017-09-17,TB,CHI,2017,2
2017091706,2017-09-17,PIT,MIN,2017,2
2017091705,2017-09-17,NO,NE,2017,2
2017091704,2017-09-17,KC,PHI,2017,2
2017091703,2017-09-17,JAX,TEN,2017,2
2017091702,2017-09-17,IND,ARI,2017,2
2017091701,2017-09-17,CAR,BUF,2017,2
2017091709,2017-09-17,OAK,NYJ,2017,2
2017091708,2017-09-17,LAC,MIA,2017,2
2017091712,2017-09-17,SEA,SF,2017,2
2017091711,2017-09-17,LA,WAS,2017,2
2017091710,2017-09-17,DEN,DAL,2017,2
2017091713,2017-09-17,ATL,GB,2017,2
2017091800,2017-09-18,NYG,DET,2017,2
2017092100,2017-09-21,SF,LA,2017,3
2017092400,2017-09-24,JAX,BAL,2017,3
2017092405,2017-09-24,IND,CLE,2017,3
2017092409,2017-09-24,PHI,NYG,2017,3
2017092408,2017-09-24,NYJ,MIA,2017,3
2017092401,2017-09-24,BUF,DEN,2017,3
2017092402,2017-09-24,CAR,NO,2017,3
2017092403,2017-09-24,CHI,PIT,2017,3
2017092404,2017-09-24,DET,ATL,2017,3
2017092406,2017-09-24,MIN,TB,2017,3
2017092407,2017-09-24,NE,HOU,2017,3
2017092410,2017-09-24,TEN,SEA,2017,3
2017092411,2017-09-24,GB,CIN,2017,3
2017092412,2017-09-24,LAC,KC,2017,3
2017092413,2017-09-24,WAS,OAK,2017,3
2017092500,2017-09-25,ARI,DAL,2017,3
2017092800,2017-09-28,GB,CHI,2017,4
2017100100,2017-10-01,MIA,NO,2017,4
2017100105,2017-10-01,HOU,TEN,2017,4
2017100108,2017-10-01,NYJ,JAX,2017,4
2017100107,2017-10-01,NE,CAR,2017,4
2017100106,2017-10-01,MIN,DET,2017,4
2017100101,2017-10-01,ATL,BUF,2017,4
2017100102,2017-10-01,BAL,PIT,2017,4
2017100103,2017-10-01,CLE,CIN,2017,4
2017100104,2017-10-01,DAL,LA,2017,4
2017100110,2017-10-01,LAC,PHI,2017,4
2017100111,2017-10-01,TB,NYG,2017,4
2017100109,2017-10-01,ARI,SF,2017,4
2017100112,2017-10-01,DEN,OAK,2017,4
2017100113,2017-10-01,SEA,IND,2017,4
2017100200,2017-10-02,KC,WAS,2017,4
2017100500,2017-10-05,TB,NE,2017,5
2017100801,2017-10-08,CLE,NYJ,2017,5
2017100802,2017-10-08,DET,CAR,2017,5
2017100803,2017-10-08,IND,SF,2017,5
2017100804,2017-10-08,MIA,TEN,2017,5
2017100800,2017-10-08,CIN,BUF,2017,5
2017100805,2017-10-08,NYG,LAC,2017,5
2017100807,2017-10-08,PIT,JAX,2017,5
2017100806,2017-10-08,PHI,ARI,2017,5
2017100808,2017-10-08,LA,SEA,2017,5
2017100809,2017-10-08,OAK,BAL,2017,5
2017100810,2017-10-08,DAL,GB,2017,5
2017100811,2017-10-08,HOU,KC,2017,5
