player_id,season,team,pos,player_name
00-0031359,2017,BUF,WR,K.Benjamin
00-0028116,2017,SF,WR,A.Robinson
00-0031390,2017,TB,RB,C.Sims
00-0031228,2017,ATL,WR,T.Gabriel
00-0031382,2017,MIA,WR,J.Landry
00-0033118,2017,MIA,RB,K.Drake
00-0031609,2017,MIA,TE,A.Derby
00-0032209,2017,JAX,RB,T.Yeldon
00-0029892,2017,SF,FB,K.Juszczyk
00-0032214,2017,CIN,TE,T.Kroft
00-0028009,2017,TEN,RB,D.Murray
00-0030564,2017,HOU,WR,D.Hopkins
00-0031407,2017,JAX,QB,B.Bortles
00-0032355,2017,IND,WR,C.Rogers
00-0030456,2017,CIN,RB,G.Bernard
00-0030300,2017,ARI,WR,J.Brown
00-0031325,2017,LA,WR,S.Watkins
00-0031590,2017,PHI,RB,J.Ajayi
00-0030107,2017,DET,RB,T.Riddick
00-0032241,2017,LA,RB,T.Gurley
00-0033899,2017,CLE,QB,D.Kizer
00-0033895,2017,LA,TE,G.Everett
00-0028112,2017,BUF,TE,C.Clay
00-0027874,2017,DEN,WR,D.Thomas
00-0021206,2017,NYJ,QB,J.McCown
00-0030147,2017,CAR,WR,R.Shepard
00-0031373,2017,PIT,WR,M.Bryant
00-0031381,2017,GB,WR,D.Adams
00-0029263,2017,SEA,QB,R.Wilson
00-0028434,2017,SEA,WR,D.Baldwin
00-0031577,2017,BAL,RB,J.Allen
00-0028002,2017,GB,WR,R.Cobb
00-0032257,2017,CLE,RB,D.Johnson
00-0026184,2017,NYJ,RB,M.Forte
00-0028087,2017,NE,RB,D.Lewis
00-0032426,2017,BAL,RB,A.Collins
00-0019596,2017,NE,QB,T.Brady
00-0033526,2017,WAS,RB,S.Perine
00-0031236,2017,NE,WR,B.Cooks
00-0024389,2017,TEN,TE,D.Walker
00-0022921,2017,ARI,WR,L.Fitzgerald
00-0033079,2017,CLE,WR,R.Louis
00-0022127,2017,DAL,TE,J.Witten
00-0029632,2017,ATL,WR,M.Sanu
00-0031547,2017,MIA,WR,D.Parker
00-0022924,2017,PIT,QB,B.Roethlisberger
00-0031589,2017,GB,QB,B.Hundley
00-0031544,2017,OAK,WR,A.Cooper
00-0023500,2017,IND,RB,F.Gore
00-0032602,2017,SEA,RB,J.McKissic
