gameid,player_id,carries,rush_yards,rush_fumbles,rush_tds,targets,receptions,rec_yards,raw_yac,rec_fumbles,rec_tds,ac_tds,rec_raw_airyards,caught_airyards,attempts,completions,pass_yards,pass_raw_airyards,comp_airyards,timeshit,interceptions,pass_tds,air_tds,season,team,pos,player_name
2017090700,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,267.0,567.0,155.0,3.0,0.0,0.0,0.0,2017,NE,QB,T.Brady
2017091705,00-0019596,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,30.0,447.0,253.0,191.0,3.0,0.0,3.0,1.0,2017,NE,QB,T.Brady
2017092407,00-0019596,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,378.0,415.0,271.0,4.0,0.0,5.0,3.0,2017,NE,QB,T.Brady
2017100107,00-0019596,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,32.0,310.0,341.0,175.0,4.0,0.0,2.0,2.0,2017,NE,QB,T.Brady
2017100500,00-0019596,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,303.0,248.0,173.0,3.0,1.0,1.0,1.0,2017,NE,QB,T.Brady
2017101505,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,20.0,257.0,480.0,185.0,4.0,1.0,2.0,1.0,2017,NE,QB,T.Brady
2017102212,00-0019596,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,249.0,218.0,135.0,0.0,0.0,2.0,1.0,2017,NE,QB,T.Brady
2017102903,00-0019596,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,31.0,308.0,388.0,152.0,2.0,0.0,1.0,1.0,2017,NE,QB,T.Brady
2017111211,00-0019596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,25.0,266.0,309.0,160.0,3.0,0.0,3.0,1.0,2017,NE,QB,T.Brady
2017111909,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,30.0,339.0,288.0,206.0,3.0,0.0,3.0,1.0,2017,NE,QB,T.Brady
2017112604,00-0019596,1.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,18.0,227.0,226.0,135.0,7.0,1.0,4.0,3.0,2017,NE,QB,T.Brady
2017120302,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,258.0,244.0,170.0,2.0,1.0,0.0,0.0,2017,NE,QB,T.Brady
2017121100,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,24.0,233.0,386.0,101.0,4.0,2.0,1.0,0.0,2017,NE,QB,T.Brady
