play_id,game_id,posteam,defteam,posteam_score,defteam_score,qtr,time,yardline_100,down,ydstogo,play_type,yards_gained,rush_attempt,pass_attempt,complete_pass,touchdown,interception,safety,fumble,fumble_lost,qb_hit,sack,field_goal_attempt,punt_attempt,run_location,shotgun,no_huddle,pass_location,air_yards,yards_after_catch,epa,wp,wpa,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,turnover,first_down
51,2018101412,NE,KC,0.0,0.0,1,15:00:00,75.0,1.0,10,pass,12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,left,9.0,3.0,1.1149963782597725,0.5000068217219346,0.0353220858886788,00-0019596,T.Brady,00-0029664,J.Gordon,,,False,True
75,2018101412,NE,KC,0.0,0.0,1,14:27:00,63.0,1.0,10,run,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,0,0,,,,0.08667194729705319,0.5353289076106134,0.004601501139369968,,,,,00-0034845,S.Michel,False,False
96,2018101412,NE,KC,0.0,0.0,1,13:54:00,58.0,2.0,5,run,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,1,0,,,,1.1344299974040184,0.5399304087499833,0.03836134219266797,,,,,00-0034845,S.Michel,False,True
117,2018101412,NE,KC,0.0,0.0,1,13:13:00,47.0,1.0,10,pass,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,left,21.0,,-0.5806237407159496,0.5782917509426513,-0.01861969845853273,00-0019596,T.Brady,00-0029664,J.Gordon,,,False,False
139,2018101412,NE,KC,0.0,0.0,1,13:10:00,47.0,2.0,10,run,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,0,0,,,,0.2200524092248095,0.5596720524841186,0.008720804747732291,,,,,00-0034845,S.Michel,False,False
160,2018101412,NE,KC,0.0,0.0,1,12:35:00,40.0,3.0,3,pass,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,middle,10.0,,-1.739839728739757,0.5683928572318508,-0.05331036585155824,00-0019596,T.Brady,00-0027656,R.Gronkowski,,,False,False
182,2018101412,NE,KC,0.0,0.0,1,12:31:00,40.0,4.0,3,pass,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,left,9.0,,-3.3429066377129444,0.5150824913802926,-0.06783872400710089,00-0019596,T.Brady,00-0029664,J.Gordon,,,False,False
204,2018101412,KC,NE,0.0,0.0,1,12:31:00,59.0,1.0,10,run,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right,1,0,,,,-0.08564484005959949,0.5527562326268083,-0.0012720449542925616,,,,,00-0033923,K.Hunt,False,False
229,2018101412,KC,NE,0.0,0.0,1,11:56:00,55.0,2.0,6,pass,17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,middle,6.0,11.0,1.4808627750481635,0.5514841876725157,0.04931081411596083,00-0033873,P.Mahomes,00-0030506,T.Kelce,,,False,True
253,2018101412,KC,NE,0.0,0.0,1,11:19:00,38.0,1.0,10,pass,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,left,0.0,9.0,0.683235420835953,0.6007950017884766,0.024372364682184844,00-0033873,P.Mahomes,00-0030506,T.Kelce,,,False,False
277,2018101412,KC,NE,0.0,0.0,1,10:45:00,29.0,2.0,1,run,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,1,0,,,,-0.15297106696471194,0.6251673664706614,-0.004156743891357451,,,,,00-0033923,K.Hunt,False,True
