player_id,season,team,pos,player_name
00-0033951,2017,IND,RB,M.Mack
00-0028116,2017,SF,WR,A.Robinson
00-0033080,2017,CLE,TE,S.DeValve
00-0033553,2017,PIT,RB,J.Conner
00-0029615,2017,HOU,RB,L.Miller
00-0032602,2017,SEA,RB,J.McKissic
00-0031806,2017,LA,RB,M.Brown
00-0031589,2017,GB,QB,B.Hundley
00-0033856,2017,JAX,RB,L.Fournette
00-0031325,2017,LA,WR,S.Watkins
00-0030496,2017,PIT,RB,L.Bell
00-0026035,2017,NE,WR,D.Amendola
00-0019596,2017,NE,QB,T.Brady
00-0029795,2017,CHI,RB,B.Cunningham
00-0030542,2017,DAL,WR,T.Williams
00-0032214,2017,CIN,TE,T.Kroft
00-0029580,2017,TEN,WR,R.Matthews
00-0031408,2017,TB,WR,M.Evans
00-0027891,2017,DET,WR,G.Tate
00-0029137,2017,PHI,WR,A.Jeffery
00-0033681,2017,JAX,WR,K.Cole
00-0027675,2017,CAR,TE,E.Dickson
00-0030801,2017,NO,WR,B.Coleman
00-0027939,2017,CAR,QB,C.Newton
00-0031544,2017,OAK,WR,A.Cooper
00-0029572,2017,MIN,WR,J.Wright
00-0027696,2017,SEA,TE,J.Graham
00-0032104,2017,DET,RB,A.Abdullah
00-0026498,2017,DET,QB,M.Stafford
00-0030279,2017,LAC,WR,K.Allen
00-0031387,2017,DET,TE,E.Ebron
00-0028067,2017,MIA,TE,J.Thomas
00-0027966,2017,NO,RB,M.Ingram
00-0031431,2017,JAX,WR,M.Lee
00-0029854,2017,DEN,RB,C.Anderson
00-0030564,2017,HOU,WR,D.Hopkins
00-0022921,2017,ARI,WR,L.Fitzgerald
00-0033857,2017,PIT,WR,J.Smith-Schuster
00-0027902,2017,DAL,WR,D.Bryant
00-0028434,2017,SEA,WR,D.Baldwin
00-0027874,2017,DEN,WR,D.Thomas
00-0031189,2017,DET,WR,T.Jones
00-0027681,2017,CIN,WR,B.LaFell
00-0031590,2017,PHI,RB,J.Ajayi
00-0033921,2017,TB,WR,C.Godwin
00-0033292,2017,SF,WR,T.Taylor
00-0032775,2017,KC,WR,D.Robinson
00-0033950,2017,NYG,RB,W.Gallman
00-0030513,2017,MIN,RB,L.Murray
00-0033090,2017,LAC,TE,H.Henry
00-0029388,2017,BUF,WR,D.Thompson
00-0031390,2017,TB,RB,C.Sims
00-0031373,2017,PIT,WR,M.Bryant
00-0033911,2017,TEN,WR,T.Taylor
00-0030288,2017,NE,RB,R.Burkhead
00-0033308,2017,SF,RB,M.Breida
00-0033869,2017,CHI,QB,M.Trubisky
00-0022943,2017,BAL,TE,B.Watson
00-0030107,2017,DET,RB,T.Riddick
00-0033288,2017,SF,TE,G.Kittle
00-0033895,2017,LA,TE,G.Everett
00-0032209,2017,JAX,RB,T.Yeldon
00-0030068,2017,SF,WR,M.Goodwin
00-0026213,2017,DEN,RB,J.Charles
00-0023436,2017,KC,QB,A.Smith
00-0029892,2017,SF,FB,K.Juszczyk
00-0030035,2017,MIN,WR,A.Thielen
00-0031407,2017,JAX,QB,B.Bortles
00-0030506,2017,KC,TE,T.Kelce
00-0032688,2017,NYJ,WR,R.Anderson
00-0027981,2017,MIN,TE,K.Rudolph
00-0030710,2017,PHI,TE,T.Burton
00-0026189,2017,TB,WR,D.Jackson
00-0033699,2017,LAC,RB,A.Ekeler
00-0032764,2017,TEN,RB,D.Henry
00-0027942,2017,CIN,WR,A.Green
00-0028118,2017,BUF,QB,T.Taylor
00-0027996,2017,PHI,WR,T.Smith
00-0031273,2017,TB,TE,C.Brate
00-0029632,2017,ATL,WR,M.Sanu
00-0025394,2017,ARI,RB,A.Peterson
00-0024389,2017,TEN,TE,D.Walker
00-0023500,2017,IND,RB,F.Gore
00-0030431,2017,LA,WR,R.Woods
00-0030670,2017,DEN,WR,B.Fowler
00-0031549,2017,PHI,WR,N.Agholor
00-0026143,2017,ATL,QB,M.Ryan
00-0032211,2017,SEA,WR,T.Lockett
00-0031547,2017,MIA,WR,D.Parker
00-0022924,2017,PIT,QB,B.Roethlisberger
00-0031588,2017,MIN,WR,S.Diggs
00-0031418,2017,NYJ,TE,A.Seferian-Jenkins
00-0033906,2017,NO,RB,A.Kamara
00-0031285,2017,ATL,RB,D.Freeman
00-0028009,2017,TEN,RB,D.Murray
00-0032918,2017,MIN,RB,C.Ham
00-0033923,2017,KC,RB,K.Hunt
00-0030821,2017,JAX,WR,A.Hurns
00-0030300,2017,ARI,WR,J.Brown
00-0027029,2017,BUF,RB,L.McCoy
