player_name,week,carries,gameid,player_id,rush_yards,rush_fumbles,rush_tds,raw_yac,rec_fumbles,rec_tds,ac_tds,rec_raw_airyards,caught_airyards,attempts,completions,pass_yards,pass_raw_airyards,comp_airyards,timeshit,interceptions,pass_tds,air_tds,season,team,pos,rec_yards,receptions,targets
T.Brady,1,0.0,2017090700,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,267.0,567.0,155.0,3.0,0.0,0.0,0.0,2017,NE,QB,0.0,0.0,0.0
A.Smith,1,2.0,2017090700,00-0023436,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,28.0,368.0,260.0,167.0,1.0,0.0,4.0,1.0,2017,KC,QB,0.0,0.0,0.0
D.Amendola,1,0.0,2017090700,00-0026035,0.0,0.0,0.0,49.0,1.0,0.0,0.0,54.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,100.0,6.0,7.0
R.Burkhead,1,3.0,2017090700,00-0030288,15.0,0.0,0.0,7.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,8.0,1.0,3.0
T.Kelce,1,1.0,2017090700,00-0030506,4.0,0.0,0.0,23.0,0.0,0.0,0.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,KC,TE,40.0,5.0,7.0
K.Hunt,1,17.0,2017090700,00-0033923,148.0,1.0,1.0,76.0,0.0,2.0,2.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,KC,RB,98.0,5.0,5.0
T.Brady,2,2.0,2017091705,00-0019596,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,30.0,447.0,253.0,191.0,3.0,0.0,3.0,1.0,2017,NE,QB,0.0,0.0,0.0
R.Burkhead,2,2.0,2017091705,00-0030288,3.0,0.0,0.0,22.0,0.0,1.0,0.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,41.0,3.0,4.0
A.Peterson,2,8.0,2017091705,00-0025394,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ARI,RB,0.0,0.0,0.0
M.Ingram,2,8.0,2017091705,00-0027966,52.0,0.0,0.0,19.0,1.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NO,RB,18.0,4.0,5.0
B.Coleman,2,0.0,2017091705,00-0030801,0.0,0.0,0.0,32.0,0.0,1.0,0.0,74.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NO,WR,82.0,4.0,6.0
A.Kamara,2,1.0,2017091705,00-0033906,3.0,0.0,0.0,12.0,0.0,0.0,0.0,79.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NO,RB,51.0,3.0,7.0
T.Brady,3,1.0,2017092407,00-0019596,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,378.0,415.0,271.0,4.0,0.0,5.0,3.0,2017,NE,QB,0.0,0.0,0.0
D.Amendola,3,0.0,2017092407,00-0026035,0.0,0.0,0.0,2.0,0.0,0.0,0.0,76.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,48.0,3.0,5.0
L.Miller,3,14.0,2017092407,00-0029615,56.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,HOU,RB,7.0,1.0,1.0
