id,rush_tds,rec_tds
00-0019596,1.0,0.0
00-0021206,5.0,0.0
00-0022127,0.0,5.0
00-0022921,0.0,7.0
00-0023500,3.0,1.0
00-0024389,1.0,4.0
00-0026184,2.0,1.0
00-0027874,0.0,6.0
00-0028002,0.0,4.0
00-0028009,6.0,1.0
00-0028087,6.0,3.0
00-0028112,0.0,2.0
00-0028116,0.0,2.0
00-0028434,0.0,9.0
00-0029263,3.0,0.0
00-0029632,0.0,6.0
00-0029892,0.0,1.0
00-0030107,3.0,2.0
00-0030147,0.0,1.0
00-0030300,0.0,4.0
00-0030456,2.0,2.0
00-0030564,0.0,16.0
00-0031228,0.0,1.0
00-0031236,0.0,7.0
00-0031325,0.0,8.0
00-0031359,0.0,5.0
00-0031373,0.0,3.0
00-0031381,0.0,10.0
00-0031382,0.0,11.0
00-0031390,0.0,1.0
00-0031407,2.0,0.0
00-0031544,0.0,7.0
00-0031547,0.0,2.0
00-0031577,4.0,2.0
00-0031589,2.0,0.0
00-0031590,2.0,1.0
00-0031609,0.0,2.0
00-0032209,2.0,0.0
00-0032214,0.0,7.0
00-0032241,15.0,6.0
00-0032257,4.0,4.0
00-0032355,0.0,1.0
00-0032426,6.0,0.0
00-0032602,1.0,2.0
00-0033118,3.0,1.0
00-0033526,1.0,1.0
00-0033895,0.0,2.0
00-0033899,5.0,0.0
