id,carries,receptions
00-0019596,13.0,0.0
00-0021206,22.0,0.0
00-0022127,0.0,64.0
00-0022921,0.0,109.0
00-0022924,13.0,0.0
00-0023500,261.0,29.0
00-0024389,2.0,74.0
00-0026184,103.0,38.0
00-0027874,0.0,83.0
00-0028002,9.0,66.0
00-0028009,184.0,39.0
00-0028087,180.0,32.0
00-0028112,0.0,49.0
00-0028116,0.0,19.0
00-0028434,2.0,75.0
00-0029263,81.0,0.0
00-0029632,3.0,65.0
00-0029892,7.0,33.0
00-0030107,84.0,53.0
00-0030147,2.0,17.0
00-0030300,0.0,31.0
00-0030456,105.0,43.0
00-0030564,0.0,95.0
00-0031228,7.0,31.0
00-0031236,9.0,65.0
00-0031325,0.0,39.0
00-0031359,0.0,48.0
00-0031373,6.0,50.0
00-0031381,0.0,74.0
00-0031382,1.0,112.0
00-0031390,21.0,31.0
00-0031407,46.0,0.0
00-0031544,1.0,47.0
00-0031547,0.0,56.0
00-0031577,153.0,46.0
00-0031589,33.0,1.0
00-0031590,209.0,24.0
00-0031609,0.0,21.0
00-0032209,49.0,30.0
00-0032214,0.0,42.0
00-0032241,278.0,64.0
00-0032257,82.0,74.0
00-0032355,3.0,23.0
00-0032426,212.0,23.0
00-0032602,46.0,34.0
00-0033079,0.0,27.0
00-0033118,133.0,32.0
00-0033526,175.0,22.0
00-0033895,1.0,16.0
00-0033899,75.0,0.0
