id,rush_yards,rec_yards
00-0019596,52.0,0.0
00-0021206,128.0,0.0
00-0022127,0.0,571.0
00-0022921,0.0,1166.0
00-0022924,66.0,0.0
00-0023500,961.0,245.0
00-0024389,-2.0,814.0
00-0026184,382.0,293.0
00-0027874,0.0,949.0
00-0028002,17.0,653.0
00-0028009,711.0,266.0
00-0028087,895.0,214.0
00-0028112,0.0,564.0
00-0028116,0.0,260.0
00-0028434,-8.0,992.0
00-0029263,603.0,0.0
00-0029632,7.0,702.0
00-0029892,31.0,317.0
00-0030107,288.0,444.0
00-0030147,19.0,202.0
00-0030300,0.0,477.0
00-0030456,459.0,381.0
00-0030564,0.0,1373.0
00-0031228,46.0,362.0
00-0031236,46.0,1081.0
00-0031325,0.0,593.0
00-0031359,0.0,696.0
00-0031373,22.0,603.0
00-0031381,0.0,885.0
00-0031382,-7.0,997.0
00-0031390,95.0,246.0
00-0031407,326.0,0.0
00-0031544,4.0,683.0
00-0031547,0.0,670.0
00-0031577,595.0,250.0
00-0031589,273.0,10.0
00-0031590,885.0,158.0
00-0031609,0.0,244.0
00-0032209,253.0,224.0
00-0032214,0.0,404.0
00-0032241,1328.0,795.0
00-0032257,351.0,704.0
00-0032355,8.0,284.0
00-0032426,976.0,187.0
00-0032602,187.0,266.0
00-0033079,0.0,357.0
00-0033118,648.0,239.0
00-0033526,602.0,182.0
00-0033895,13.0,244.0
00-0033899,418.0,0.0
