id,pos,carries,receptions,rush_yards,rec_yards,rush_tds,rec_tds
00-0022921,WR,0.0,109.0,0.0,1166.0,0.0,7.0
00-0027874,WR,0.0,83.0,0.0,949.0,0.0,6.0
00-0028002,WR,9.0,66.0,17.0,653.0,0.0,4.0
00-0028116,WR,0.0,19.0,0.0,260.0,0.0,2.0
00-0028434,WR,2.0,75.0,-8.0,992.0,0.0,9.0
00-0029632,WR,3.0,65.0,7.0,702.0,0.0,6.0
00-0030147,WR,2.0,17.0,19.0,202.0,0.0,1.0
00-0030300,WR,0.0,31.0,0.0,477.0,0.0,4.0
00-0030564,WR,0.0,95.0,0.0,1373.0,0.0,16.0
00-0031228,WR,7.0,31.0,46.0,362.0,0.0,1.0
00-0031236,WR,9.0,65.0,46.0,1081.0,0.0,7.0
00-0031325,WR,0.0,39.0,0.0,593.0,0.0,8.0
00-0031359,WR,0.0,48.0,0.0,696.0,0.0,5.0
00-0031373,WR,6.0,50.0,22.0,603.0,0.0,3.0
00-0031381,WR,0.0,74.0,0.0,885.0,0.0,10.0
00-0031382,WR,1.0,112.0,-7.0,997.0,0.0,11.0
00-0031544,WR,1.0,47.0,4.0,683.0,0.0,7.0
00-0031547,WR,0.0,56.0,0.0,670.0,0.0,2.0
00-0032355,WR,3.0,23.0,8.0,284.0,0.0,1.0
00-0033079,WR,0.0,27.0,0.0,357.0,0.0,0.0
